Player Name,Points Per Game,Assists Per Game,Rebounds Per Game,Blocks Per Game,Steals Per Game,True Shooting Percentage,All Star Player?
"b""Amar'e Stoudemire""",20.6,1.4,9,1.6,1.2,0.537129746,1
"b""E'Twaun Moore""",7.8,2.7,2.2,0.3,0.7,0.466954023,0
"b""Kyle O'Quinn""",6.2,1.1,5.3,1.3,0.6,0.52294197,0
b'\xc3\x96mer A\xc5\x9f\xc4\xb1k',3.1,0.5,5.3,1,0.5,0.49935567,0
b'Aaron Brooks',11.2,3,2,0.1,0.6,0.520059435,0
b'Adonal Foyle',2.9,0.4,4.4,1,0.3,0.435697115,0
b'Adrian Griffin',2.1,0.6,2,0.1,0.4,0.433884298,0
b'Al Harrington',6.6,0.8,3.2,0.2,0.5,0.526483727,0
b'Al Horford',11.5,2.4,9.3,1.4,0.8,0.560210444,1
b'Al Jefferson',7.9,0.5,5.1,0.8,0.5,0.53291959,0
b'Alec Burks',7,1.4,2.3,0.2,0.5,0.501432665,0
b'Al-Farouq Aminu',6,1,4.7,0.5,0.9,0.480153649,0
b'Alonzo Gee',5.9,0.7,3.3,0.3,0.7,0.545891932,0
b'Alvin Williams',6.9,2,1.5,0,0.7,0.519891501,0
b'Anderson Varej\xc3\xa3o',4.6,0.4,4.9,0.4,0.6,0.547619048,0
b'Andr\xc3\xa9s Nocioni',13,1.4,6.1,0.6,0.5,0.569176883,0
b'Andray Blatche',3.7,0.7,3.4,0.6,0.3,0.474845996,0
b'Andre Drummond',13.5,0.4,13.2,1.6,1.2,0.59946714,1
b'Andre Iguodala',12.3,3.1,5.9,0.3,1.6,0.597551496,1
b'Andre Miller',15.8,8,4.4,0.3,1.5,0.540355677,0
b'Andrea Bargnani',10.2,1.1,3.7,0.5,0.3,0.496688742,0
b'Andrei Kirilenko',12,1.7,5.3,2.2,1.5,0.598563448,1
b'Andrew Bogut',12.3,3,8.8,0.5,0.7,0.570712695,0
b'Andrew Bynum',7.8,1.1,5.9,1.6,0.1,0.59596577,1
b'Andris Biedri\xc5\x86\xc5\xa1',3.8,0.4,4.2,0.7,0.3,0.596733668,0
b'Antawn Jamison',19.6,2.1,8.3,0.3,0.7,0.497159091,1
b'Anthony Carter',6.4,3.7,2.5,0.1,1,0.437397485,0
b'Anthony Davis',20.8,1.6,10,2.8,1.3,0.580875782,1
b'Anthony Johnson',5,2.2,1.5,0.1,0.7,0.467464473,0
b'Anthony Morrow',13,1.5,3.8,0.2,0.9,0.593715747,0
b'Anthony Tolliver',11.7,1.9,7,0.7,0.7,0.528169014,0
b'Antonio Daniels',4.7,2.3,1.1,0.1,0.6,0.520372011,0
b'Aron Baynes',3,0.6,2.7,0.1,0,0.457875458,0
b'Arron Afflalo',4.9,0.6,1.8,0.2,0.4,0.539647577,0
b'Austin Rivers',7.7,2.3,1.9,0.1,0.7,0.48125,0
b'Avery Bradley',7.6,1.4,1.8,0.2,0.7,0.556531927,0
b'Baron Davis',13.8,7.3,5,0.4,2.1,0.510959716,1
b'Ben Gordon',16.9,3,2.7,0.1,0.9,0.531580272,0
b'Beno Udrih',5.1,1.7,1,0,0.3,0.543015332,0
b'Bismack Biyombo',4.8,0.4,7.3,1.8,0.4,0.471327573,0
b'Blake Griffin',22.5,3.8,12.1,0.5,0.8,0.547711782,1
b'Bobby Brown',5.2,1.9,0.8,0,0.3,0.463623395,0
b'Bobby Jackson',7.1,3.3,2.7,0.1,0.8,0.460799585,0
b'Bobby Simmons',3.3,0.6,2.1,0.1,0.3,0.466101695,0
b'Bonzi Wells',8.8,1.5,2.8,0.2,1,0.537897311,0
b'Boris Diaw',4.8,2.3,2.6,0.3,0.6,0.477326969,0
b'Brad Miller',7.7,0.8,5.3,0.6,0.4,0.562865497,1
b'Bradley Beal',17.1,3.3,3.7,0.2,1,0.507599145,1
b'Brandan Wright',8.3,0.5,4,0.9,0.6,0.570996147,0
b'Brandon Jennings',16.2,4.8,3.7,0.3,1.5,0.493421053,0
b'Brandon Knight',13.3,4,3.3,0.1,0.8,0.510752688,0
b'Brandon Rush',9.4,1.4,4.2,0.8,0.7,0.517393219,0
b'Brendan Haywood',6.2,0.4,5,1.5,0.4,0.561594203,0
b'Brevin Knight',9.6,7.7,3.4,0.2,1.8,0.495662949,0
b'Brian Cook',6.4,0.5,3,0.4,0.3,0.522875817,0
b'Brian Scalabrine',3.1,0.8,2.4,0.3,0.3,0.48988622,0
b'Brian Skinner',5.4,0.3,6.1,1.3,0.5,0.542168675,0
b'Brook Lopez',18.8,2.3,8.6,1.7,0.7,0.568731849,1
b'C.J. Miles',2.7,0.7,0.9,0.1,0.3,0.401307967,0
b'C.J. Watson',9.5,2.7,2.5,0.1,1.2,0.56547619,0
b'Calvin Booth',5.3,0.8,4.5,2,0.5,0.508052147,0
b'Carl Landry',9.2,0.6,5,0.4,0.4,0.627386798,0
b'Carlos Boozer',15.5,2,11.4,0.7,1,0.56685196,1
b'Carlos Delfino',3.6,0.6,1.7,0.2,0.3,0.481283422,0
b'Carmelo Anthony',20.8,2.6,5.7,0.4,0.9,0.526742301,1
b'Caron Butler',9.2,1.9,4.8,0.2,1.1,0.440444274,1
b'Chandler Parsons',15.5,3.5,5.3,0.4,1,0.583584337,0
b'Channing Frye',9.5,0.9,5.5,0.6,0.5,0.462962963,0
b'Charlie Villanueva',11.8,0.9,5.8,0.3,0.6,0.545689974,0
b'Chauncey Billups',11.1,4.3,2.2,0,1.5,0.531609195,1
